Country Name,Country Code,Life Expectancy 2017,Health Expenditure 2017,GDP per Capita 2017,Total Population 2017,Poverty Headcount at 1.9,Education Expenditure 2017,Primary School Enrollment Ratio 2017,Gini Coefficient 2017,Physicians per 1000 - 2017
Eswatini,SWZ,58.319,6.91085625,1.045678092,1124808,,,115.160141,,
Chad,TCD,53.712,4.40445328,-5.92875313,15016761,,16.3627491,78.57404327,,0.0434
Togo,TGO,60.489,6.02144766,1.792430161,7698476,,23.14003944,124.3509674,,0.0299
Thailand,THA,76.683,3.83202839,3.818674251,69209817,0,15.83858013,99.62503052,36.5,0.8075
Tajikistan,TJK,70.647,7.2288146,4.486563433,8880270,,18.14114952,100.8574371,,
Turkmenistan,TKM,67.956,6.93379545,4.737302759,5757667,,,,,
Timor-Leste,TLS,69.007,4.33655405,-5.95256521,1243260,,8.205820084,119.7651291,,0.7504
Tonga,TON,70.701,5.05521584,2.452312649,102002,,,,,
Trinidad and Tobago,TTO,73.245,7.02028561,-3.44273321,1384060,,9.886910439,,,3.3646
Tunisia,TUN,76.31,7.25768566,0.763723975,11433438,,,115.6496124,,1.3025
Turkey,TUR,77.161,4.17974997,5.794264413,81116451,0.1,,93.15498352,41.4,1.8492
Tanzania,TZA,64.479,3.63913774,2.875847514,54660345,49.4,24.39653969,89.21768188,40.5,
Uganda,UGA,62.516,6.48715639,3.643718302,41166588,,12.84181976,102.7047119,,0.168
Ukraine,UKR,71.78097561,7.43332434,-0.0173122,44831135,0,13.05142021,,26,
Uruguay,URY,77.632,9.51635647,2.9171754,3436645,0.1,14.92741966,108.4594421,39.5,5.0794
United States,USA,78.53902439,17.00361443,1.257929132,325122128,1.2,,101.8214417,41.2,2.612
Uzbekistan,UZB,71.388,5.07679749,1.687321406,32388600,,22.53945923,103.6549225,,
St. Vincent and the Grenadines,VCT,72.3,4.3064785,2.717630178,109826,,18.97827911,110.6617966,,
Vietnam,VNM,75.241,5.92534494,0.6702072,94600643,,15.09342003,109.1508331,,
Vanuatu,VUT,70.172,2.76094961,5.728088412,285499,,12.20798016,,,
Samoa,WSM,73.046,5.50720882,3.644485109,195358,,13.21240044,108.5488434,,
South Africa,ZAF,63.538,8.11311913,-0.01234474,57009751,,18.71928978,100.8647308,,0.9054
Zambia,ZMB,63.043,4.39748955,0.494085598,16853608,,14.88183022,98.71552277,,
Zimbabwe,ZWE,60.812,5.84977484,3.182506459,14236599,33.9,20.87420082,98.93318939,44.3,0.1859
,,,,,,,,,,
